<!DOCTYPE HTML><html><head><meta charset='UTF-8'><title>transcodage</title></head><body><pre>
ancien;simple;rattachée
01003;01165;01165
01018;01033;01033
01020;01125;01125
01048;01245;01245
01055;01283;01283
01059;01453;01059
01070;01165;01165
01086;01036;01036
01091;01033;01091
01097;01453;01097
01119;01080;01119
01120;01262;01120
01122;01185;01122
01126;01033;01033
01131;01189;01189
01132;69286;69286
01137;01426;01137
01144;01025;01144
01154;01130;01154
01161;01036;01036
01164;01104;01104
01168;69278;69278
01172;01095;01172
01176;01187;01176
01178;01240;01240
01182;01338;01182
01186;01185;01186
01201;01185;01185
01205;01033;01205
01217;01079;01079
01218;01453;01218
01221;01036;01221
01222;01185;01185
01223;01450;01450
01226;01036;01036
01251;01313;01313
01253;01450;01450
01256;69284;69284
01270;01410;01410
01271;01286;01271
01278;01033;01033
01287;01079;01079
01292;01187;01292
01300;01204;01300
01312;01426;01312
01315;01202;01202
01316;01098;01316
01324;01245;01324
01326;69286;69286
01327;01184;01184
01340;01015;01340
01341;01227;01341
01377;01125;01125
01394;69292;69292
01395;69293;69293
01409;01187;01409
01413;01215;01413
01414;01036;01414
01417;01185;01417
01438;01143;01143
01440;01283;01283
01442;01036;01442
01455;01267;01267
01458;01033;01033
02026;02458;02026
02045;02439;02439
02092;02093;02093
02113;02022;02022
02147;02458;02147
02161;02053;02161
02202;02220;02220
02247;02580;02580
02285;59545;02285
02300;02738;02300
02301;02018;02301
02314;02361;02361
02325;02458;02325
02344;51171;51171
02348;02439;02348
02365;02124;02124
02394;02008;02008
02434;02018;02434
02436;02140;02140
02437;02757;02757
02475;02360;02475
02479;02439;02479
02597;02439;02597
02603;02810;02810
02611;02559;02559
02630;02738;02630
02646;02439;02646
02669;02053;02669
02692;02307;02307
02700;02308;02308
02733;02153;02733
02771;02439;02771
02811;02439;02811
02825;02738;02825
03123;03158;03123
03153;03158;03153
03199;03315;03315
03318;03168;03318
04002;04167;04167
04003;04081;04003
04010;04136;04010
04011;04023;04011
04014;04109;04014
04015;04177;04177
04029;04155;04029
04038;04208;04208
04044;04039;04039
04048;04039;04039
04052;04144;04052
04056;04108;04108
04060;04219;04219
04064;04173;04173
04071;04070;04070
04078;04039;04039
04080;04097;04097
04082;04023;04082
04083;04046;04046
04089;04226;04226
04098;04167;04167
04100;04120;04100
04103;04107;04107
04105;04192;04105
04114;04155;04155
04117;04040;04040
04119;04161;04161
04125;04043;04043
04131;04124;04131
04146;04217;04217
04147;04219;04219
04153;04204;04153
04165;04023;04165
04168;04039;04039
04185;04046;04046
04196;04075;04075
04198;04033;04198
04212;04039;04039
04213;04167;04167
04215;04039;04039
04221;04084;04084
04223;04102;04102
04225;04234;04234
04232;04208;04208
04238;04075;04075
04239;04039;04039
04243;04043;04043
05002;05139;05002
05005;05118;05005
05015;05014;05014
05020;05132;05020
05030;05145;05145
05034;05118;05034
05041;05064;05064
05042;05139;05042
05043;05039;05039
05067;05132;05067
05069;05053;05069
05083;05070;05070
05088;05024;05088
05105;05118;05118
05120;05001;05120
05125;05061;05125
05137;05051;05051
05138;05139;05138
05141;05039;05039
05143;05053;05143
05150;05024;05150
05175;05101;05175
07016;07011;07016
07021;07207;07207
07043;07334;07043
07046;07031;07046
07057;07334;07057
07125;07147;07147
07135;07262;07135
07164;07334;07164
07180;07204;07204
07246;07284;07246
07252;07103;07103
07256;07165;07256
07271;07270;07271
07320;07147;07147
08002;08113;08113
08007;08116;08007
08009;08311;08009
08012;08437;08012
08042;08173;08042
08050;08437;08050
08051;08069;08051
08054;08319;08319
08068;08490;08490
08072;08491;08072
08079;08173;08079
08091;08469;08469
08093;08344;08344
08108;08081;08081
08112;08057;08112
08114;08115;08114
08118;08490;08490
08127;08490;08490
08129;08115;08115
08152;08173;08152
08157;08105;08105
08177;08189;08177
08181;08409;08409
08213;08366;08213
08221;08169;08169
08224;08240;08240
08227;08203;08203
